gvkey,iid,cik,first_date,last_date
025880,01,891024,1996-07-26,2025-02-26
021828,01,874214,1994-03-31,2015-05-22
136646,01,1094058,2000-05-31,2012-11-16
178600,01,1400848,2007-06-05,2012-08-14
066484,01,1066254,1998-11-16,2013-03-08
271841,08W,1389207,2007-02-22,2020-06-23
015319,03W,847838,2002-11-13,2010-11-12
136646,01W,1094058,2000-05-31,2012-11-16
128663,01W,1076481,2000-02-01,2016-08-05
020423,01,858339,1994-03-28,2020-05-11
017307,01,1383803,2007-02-14,2014-11-04
165649,06,1276187,2006-01-09,2025-08-07
008488,01,77551,1999-09-28,2008-10-22
024856,01,882095,1996-04-26,2025-08-07
007908,01W,769594,1998-11-25,2018-02-13
111640,01,1006830,1998-09-29,2025-05-08
025088,01,879911,1996-10-15,2025-08-13
112362,01,1052101,1998-06-26,2008-02-22
163679,01,1104042,2005-04-04,2012-01-04
118577,01,1073431,1998-12-10,2013-11-05
164660,01,1334978,2005-08-10,2025-08-05
135165,01,1105982,2000-02-16,2010-11-22
017069,01,1370291,2007-05-15,2013-05-10
166482,02,1350593,2006-02-22,2025-08-05
163772,01,1322705,2005-04-13,2015-02-11
142462,01,1129633,2001-02-09,2016-05-10
007017,01,101778,1994-03-15,2024-11-06
060846,01,944739,1996-05-10,2013-08-14
064055,01,1024657,1996-11-26,2017-08-03
145308,04W,105319,2000-03-20,2025-08-11
241159,90W,1132924,2003-05-30,2025-05-09
008387,01,943861,1995-04-14,2021-11-08
009846,06W,827052,1994-03-21,2014-07-31
174169,01,1282648,2006-03-09,2025-08-14
124617,90,1094972,2001-10-25,2025-05-08
029435,01,722392,1996-08-08,2015-08-07
144809,01,1133260,2001-08-02,2012-11-02
011259,01,104169,1995-02-21,2025-08-29
180327,01,1426530,2008-03-04,2014-11-19
001781,01,897265,1999-08-20,2008-06-26
165123,01,1336920,2006-10-13,2025-08-05
004600,03,1419581,2008-03-13,2017-02-22
012756,01,804055,1994-03-14,2010-07-28
028930,01,1048286,1998-02-13,2025-08-05
017120,02,719739,1995-05-15,2023-02-24
179254,03,1412203,2007-09-27,2009-11-12
179361,01W,1411303,2007-09-19,2016-04-29
002369,29C,1001085,2001-11-29,2025-05-08
002369,08C,1001085,2001-11-29,2025-05-08
010795,04,100517,1995-03-08,2010-04-27
006649,01,58492,1994-03-29,2025-08-07
014733,01,811922,1995-07-31,2025-01-27
134308,01,1094961,2000-05-02,2009-07-28
160228,01,1283709,2004-04-16,2013-11-12
001468,02,5133,1994-01-13,2017-01-06
183257,01,1457543,2009-03-31,2015-02-06
006737,01,59527,1994-05-13,2025-04-30
028191,01W,884887,1998-11-18,2025-04-29
004666,01,888165,1996-09-27,2014-03-13
010795,01,100517,1995-03-08,2010-04-27
145186,02,1137778,2001-09-06,2009-05-08
015724,17W,1127508,2002-06-25,2009-05-14
108893,05W,1048098,2003-11-03,2016-04-29
035865,01,1430725,2008-09-18,2025-08-06
108893,90W,1048098,2003-11-03,2016-04-29
032840,01,1464790,2009-06-01,2025-02-21
013510,20,783280,1994-05-12,2012-05-04
183780,01W,1406982,2007-12-24,2009-10-13
006311,01,56868,1995-05-15,2025-08-19
109699,01,1210227,2003-03-28,2017-05-08
179841,01,1200375,2008-04-14,2025-08-13
174876,01,1014507,2006-05-16,2016-02-08
162559,02W,1311370,2004-12-17,2025-07-25
163933,01,1103025,2000-02-18,2012-11-14
184239,02,1410428,2010-01-29,2012-08-14
027823,02,784199,1996-05-15,2025-08-08
006315,01,57055,1995-02-14,2012-06-14
006598,01,711665,1996-07-19,2011-11-22
176637,06,1396446,2007-04-19,2018-04-27
015633,02W,1000275,2002-08-23,2025-05-29
015633,71C,1000275,2002-08-23,2025-05-29
009465,01,87347,1996-05-15,2025-07-24
007152,01W,708819,1994-02-01,2020-05-08
105365,06,1053507,1998-04-09,2025-04-29
012756,10W,1491675,2010-05-25,2016-04-28
024724,01,1316631,2005-08-11,2013-05-06
013994,01,49279,2003-04-24,2018-04-26
184182,93W,1481513,2010-01-20,2025-04-29
011856,11,92230,1994-03-31,2025-07-18
184182,95W,1481513,2010-01-20,2025-04-29
012756,01,1491675,2010-05-25,2016-04-28
027939,01,34956,1996-08-02,2025-08-13
105089,04W,1076378,2003-04-08,2025-07-24
166009,01,1328237,2007-03-27,2025-08-07
185912,90W,1442596,2010-11-15,2015-08-21
004094,01,1115222,2000-06-27,2018-11-06
035941,02,1000209,2007-03-29,2025-01-30
180145,01,1434842,2008-08-15,2020-06-29
006972,90W,202467,2002-11-22,2013-01-31
014605,01W,806968,2000-06-22,2025-03-28
025792,06C,1127248,2011-02-23,2021-02-17
185826,01,1292519,2010-11-01,2023-11-08
160216,01,830916,2004-04-15,2016-05-05
029733,01,916076,1996-05-14,2025-08-07
007549,02,67887,1994-02-14,2025-07-25
061449,03,845611,1996-07-15,2025-06-06
007146,01,63754,1994-02-22,2025-06-26
026520,01,922612,1996-08-30,2022-10-13
186955,01,1122388,2010-04-30,2019-03-01
185180,01,1294924,2010-06-28,2017-02-02
061356,01C,1076930,1999-04-14,2025-08-05
184542,01,1487371,2010-03-19,2021-02-25
004842,01,38067,1994-04-28,2015-11-03
007146,02,63754,1994-02-22,2025-06-26
002129,01,913142,2004-10-26,2025-07-31
